Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
AACER SAS,0.071690026,0,0.042876,0.104095,0.153192,1.877078,1.642505,0
ABARROTES EL ROMPOY SAS,0.017815839,0,0.010767,0.018414,0,0,0.865044,0
ABASTECIMIENTOS INDUSTRIALES SAS,0.144646325,0.054226,0.059784,0.227215,0.025591,1.077412,1.272299,0
ACME LEON PLASTICOS SAS,0.004465014,0,-0.013995,0.073186,0.127866,0,1.391645,0
ADVANCED PRODUCTS COLOMBIA SAS,0.141828986,0.05081,0.053776,0.398755,0.147678,0.675073,2.118774,0
AEI CONSTRUCTORES SAS,-0.010578138,0,0.00059,0.389636,0.012342,-0.003974,0.430969,0
AGROBOL S.A.S. BIC fabricación de plaguicidas y otros productos de uso agropecuario y su transformación que busca tener soluciones integrales para el campofabricación de plaguicidas y otros productos de uso agropecuario y su transformación que busca tener soluciones integrales para el campo C2229 - Fabricación de artículos de plástico n.c.p. 01. ANUAL 2008-01-21  ACTIVA 08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS 07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,0.060096222,0,0.067001,0.309923,0.087599,0.643787,2.608251,0
AGROGANADERA MONTENEGRO S.A.,0.105435099,0.052469,0.026742,0.072367,0.060135,0.339372,1.387804,0
AGROPECUARIA NUEVA DEL ORIENTE,0.023794882,0.021462,0.002715,0.101501,0.249638,0.1307,0.060215,0
AGUA Y AMBIENTE INTERNACIONAL SAS,0.207236544,0,0.130266,0.263506,0.037031,0,1.675884,0
AIR FLOW SAS,0.085540504,0.040191,0.019258,0.391993,0.197809,1.325146,1.524221,0
AKIRA CINE LTDA,0.019634944,0,0.005231,0.132576,0.156449,0,0.664202,0
ALGRAFHER SAS,0.061749541,0.037805,0.021924,0.425312,0.051713,0.262503,2.138922,0
ALIANZA M&G SA,0.058610576,0.012867,0.028837,0.159203,0.245165,0,0.726567,0
ALIANZA Y PROGRESO SAS,0.084126283,0.031946,0.030498,0.129117,0.020256,0.492105,2.599451,0
ALLTECH DE COLOMBIA LTDA,0.067030045,0.059026,-0.013488,0.221108,0.034428,0,0.555471,0
ALMACEN OLIMPICO SAS,0.050654723,0,0.032926,0.012148,0.106813,0,1.434458,0
ALMACENES FULLER SAS,0.045229542,0.008182,0.022266,0.06051,0.075352,0,0.557734,0
ALMACENES TRAVESURAS SAS,0.046188893,0.026426,0.025292,0.051534,0.133348,0,2.258154,0
ALMETALCO SAS,0.078466017,0.048417,0.033441,0.297673,0.030991,0.523961,1.221074,0
ANFER INGENIERIA SAS,0.045851353,0.033154,0.044955,0.07184,0.023657,1.167342,2.75638,0
ARZAK Y CIA SAS,0.113674332,0.013334,0.054783,0,0.025857,0,2.756538,0
AUDUBON COLOMBIA LLC SUCURSAL COLOMBIANA,0.033465334,0,0.027619,0.308214,0.007656,0,3.540019,0
AUTOMATED TRANSACTIONS SAS,0.137407409,0.052817,0.057344,0.037673,0.122509,0,2.446083,0
AVILA WAGNER SAS,0.01575774,0,0.006146,0.18036,0.177884,0.103406,0.221829,0
Alimentos Enriko SAS,0.123661105,0.029408,0.058836,0.079298,0.157863,0.842611,0.675837,0
Arquicentro del Prado S.A..,0.004389271,0,0.002022,0.365891,0.027422,0,1.170998,0
B. ALTMAN & COMPAÑIA SAS,0.127438319,0.02901,0.068814,0.248643,0.160792,1.889827,1.326806,0
BELLAVISTA COAL SAS,0.004897563,0.003509,-0.010222,0.031104,0.01138,2.259408,1.810771,0
BELLTEC SAS,0.048416524,0.011696,0.022228,0.021322,0.098672,1.373692,0.915134,0
BPM CONSULTING SAS BUSINESS PROCESS MANAGEMENT CONSULTING SAS,0.049854572,0.036577,0.005065,0.204218,0.011618,0.382813,0.254534,0
BRILLAEO SAS,0.037039621,0.014655,0.013682,0.255047,0.091334,0.625714,0.872535,0
C B INTERNACIONAL S.A.,0.07966915,0,0.050298,0.040301,0.069621,0,1.49484,0
CAFE DEVOCION LTDA,0.073318345,0.009469,0.038695,0.126538,0.082721,0.469808,0.951446,0
CAMPOALTO ACESALUD S.A.S.,0.026633808,0,0.017312,0.215361,0.029585,2.011816,1.187687,0
