fecha_publicacion,candidato,titulo_video,vistas,likes,comentarios,suscriptores_canal,engagement_rate,engagement_por_1000
2025-09-24,Gustavo Bolívar,Yo no pierdo mi coherencia. Mi compromiso es con el pueblo que creyó en el proyecto del Cambio.,2115,99,12,256000,4.68,0.43
2025-09-24,Gustavo Bolívar,Sobre Quintero ,4006,625,233,256000,15.6,3.35
2025-09-22,Gustavo Bolívar,Un debate ético pendiente ,9497,890,329,256000,9.37,4.76
2025-09-22,Gustavo Bolívar,¡Gracias Manizales! #DatoMataRelato  ¡volveremos a ganar!,2895,372,21,256000,12.85,1.54
2025-09-22,Gustavo Bolívar,¡Gracias Tolima! ¡Volveremos a ganar!,3721,190,8,256000,5.11,0.77
2025-09-20,Gustavo Bolívar,| Gustavo Bolívar en Manizales,2257,368,37,256000,16.3,1.58
2025-09-19,Gustavo Bolívar,¿Por qué la JEP no condena generales?,3993,476,14,256000,11.92,1.91
2025-09-19,Gustavo Bolívar,| Gustavo Bolívar en Ibagué,4216,598,74,256000,14.18,2.62
2025-09-18,Gustavo Bolívar,La campaña Quintero miente,4098,459,64,256000,11.2,2.04
2025-09-17,Gustavo Bolívar,Al Pacto Histórico le acaban de entregar una Personería Jurídica envenenada. | Gustavo Bolívar,6299,631,98,256000,10.02,2.85
2025-09-15,Gustavo Bolívar,| Gustavo Bolívar en Apartadó,6968,163,17,256000,2.34,0.7
2025-09-14,Gustavo Bolívar,| Gustavo Bolívar en Necoclí. ¡Defendamos el Cambio!,7811,57,6,256000,0.73,0.25
2025-09-14,Gustavo Bolívar,| Gustavo Bolívar en Carepa 2.0,7705,79,10,256000,1.03,0.35
2025-09-14,Gustavo Bolívar,| Gustavo Bolívar en Carepa,2759,174,18,256000,6.31,0.75
2025-09-14,Gustavo Bolívar,Al gobierno estadounidense,4890,512,45,256000,10.47,2.18
2025-09-13,Gustavo Bolívar,| Gustavo Bolívar en Montería,4929,335,51,256000,6.8,1.51
2025-09-13,Gustavo Bolívar,Chantaje descarado,6688,606,58,256000,9.06,2.59
2025-09-12,Gustavo Bolívar,| Gustavo Bolívar en Sincelejo,2520,197,14,256000,7.82,0.82
2025-09-10,Gustavo Bolívar,| Gustavo Bolívar - Cartagena junto a las madres comunitarias,2322,107,3,256000,4.61,0.43
2025-09-07,Gustavo Bolívar,Diálogo con la diáspora,1614,309,15,256000,19.14,1.27
2025-09-06,Gustavo Bolívar,| Gustavo Bolívar en San Andrés. ¡Volvamos a Ganar!,3207,546,37,256000,17.03,2.28
2025-09-05,Gustavo Bolívar,| Gustavo Bolívar en Valledupar,1676,278,0,256000,16.59,1.09
2025-09-02,Gustavo Bolívar,Defensores del Cambio desde Cúcuta - Gustavo Bolívar,64837,430,37,256000,0.66,1.82
2025-08-23,Gustavo Bolívar,Carolina y Gustavo hablando del proceso de inscripción en el Pacto Histórico,11095,1461,174,256000,13.17,6.39
2025-08-22,Gustavo Bolívar,Sobre los atentados terroristas en Antioquía y Cali ,23367,2584,750,256000,11.06,13.02
2025-08-21,Gustavo Bolívar,Colombia Potencia Pesquera Mundial ,4095,642,94,256000,15.68,2.88
2025-08-20,Gustavo Bolívar,#Uribe: Libre pero no inocente.,17469,817,281,256000,4.68,4.29
2025-08-18,Gustavo Bolívar,Uribe en el país de las bellezas,24749,1228,151,256000,4.96,5.39
2025-08-16,Gustavo Bolívar,Corcho y bolivar aclaran dudas sobre consulta,18457,2607,461,256000,14.12,11.98
2025-08-15,Gustavo Bolívar,Dije a EEUU la verdad sobre asesinato de Miguel Uribe y la condena de Alvaro Uribe.,179944,14144,2879,256000,7.86,66.5
2025-08-12,Gustavo Bolívar,| Gustavo Bolívar,4389,416,55,256000,9.48,1.84
2025-08-10,Gustavo Bolívar,Los extremos se juntan. #AmorYRespeto,6439,839,95,256000,13.03,3.65
2025-08-08,Gustavo Bolívar,| Gustavo Bolívar,3132,482,38,256000,15.39,2.03
2025-08-02,Gustavo Bolívar,Audiencia de SENTENCIA contra ÁLVARO URIBE VÉLEZ | Gustavo Bolívar,5520,741,7,256000,13.42,2.92
2025-07-29,Gustavo Bolívar,Veredicto: #Uribe culpable.,12107,1017,78,256000,8.4,4.28
2025-07-29,Gustavo Bolívar,Uribe Culpable. ,43800,4432,699,256000,10.12,20.04
2025-07-22,Gustavo Bolívar,Bolivar Presidente ,9274,1269,362,256000,13.68,6.37
2025-07-08,Gustavo Bolívar,Dato mata relato,5757,922,124,256000,16.02,4.09
2025-07-08,Gustavo Bolívar,Análisis encuesta Guarumo,20746,2040,405,256000,9.83,9.55
2025-07-07,Gustavo Bolívar,Tips de economía #1,12003,1816,186,256000,15.13,7.82
2025-07-02,Gustavo Bolívar,Así se orquestó el golpe de Estado al presidente Petro,61900,7364,1167,256000,11.9,33.32
2025-06-30,Gustavo Bolívar,por la Paz hasta el último aliento.,1524,304,30,256000,19.95,1.3
2025-06-30,Gustavo Bolívar,Douglas y Pesebre en tarima,8192,1498,133,256000,18.29,6.37
2025-06-30,Gustavo Bolívar,El golpe de Estado,17418,2744,25,256000,15.75,10.82
2025-06-28,Gustavo Bolívar,Nada que bajan las tasas de interés,6466,846,56,256000,13.08,3.52
2025-06-24,Gustavo Bolívar,23 de junio de 2025,4638,573,61,256000,12.35,2.48
2025-06-24,Gustavo Bolívar,¿Ser decente en política no paga?,9395,1664,24,256000,17.71,6.59
2025-06-23,Gustavo Bolívar,Petro a la cárcel?,18022,1531,201,256000,8.5,6.77
2025-06-20,Gustavo Bolívar,20 de junio de 2025,4379,602,40,256000,13.75,2.51
2025-05-30,Gustavo Bolívar,"El Foro Mundial Por la Humanidad, en Grecia.",2483,640,2,256000,25.78,2.51
2025-05-24,Gustavo Bolívar,Último partido de Modric #Leyenda,3523,90,5,256000,2.55,0.37
